Topic 1,Topic 2,Co-interest Score,Correlation,Adjusted Co-interest Score
Software updates,Horoscope,3.9999262044809674e-05,0.037348692526179325,0.033929389222126155
Friendship,Social justice,3.721860529788092e-05,-0.02108674692035549,0.03157069608038808
Social justice,Friendship,3.721860529788092e-05,-0.02108674692035549,0.03157069608038808
Current Events,Personal Experiences,3.637166981803446e-05,-0.045224795949962926,0.030852282737923238
Personal Experiences,Current Events,3.637166981803446e-05,-0.045224795949962926,0.030852282737923238
Family,Social justice,3.6065969834073836e-05,-0.021573227152676705,0.030592972610416932
Social justice,Family,3.6065969834073836e-05,-0.021573227152676705,0.030592972610416932
Music,Global Politics,3.568904877648638e-05,-0.02342343794332207,0.030273249180155306
Global Politics,Music,3.568904877648638e-05,-0.02342343794332207,0.030273249180155306
Fashion,Horoscope,3.549182708168906e-05,-0.013338629176902834,0.03010595580263426
Horoscope,Fashion,3.549182708168906e-05,-0.013338629176902834,0.03010595580263426
Gaming,Horoscope,3.477633183660272e-05,-0.007838942250186763,0.02949903668922864
Horoscope,Gaming,3.477633183660272e-05,-0.007838942250186763,0.02949903668922864
Gaming,Global Politics,3.347455340734689e-05,-0.008346400100221646,0.028394802642167753
Global Politics,Gaming,3.347455340734689e-05,-0.008346400100221646,0.028394802642167753
Art,US Politics,3.342230358857248e-05,-0.008954340867814246,0.028350481713546708
US Politics,Art,3.342230358857248e-05,-0.008954340867814246,0.028350481713546708
Global Politics,Personal Experiences,3.334058188386465e-05,-0.04320678333998678,0.028281161246488554
Personal Experiences,Global Politics,3.334058188386465e-05,-0.04320678333998678,0.028281161246488554
Ethics,Horoscope,3.247158264555014e-05,-0.014565345675191504,0.027544032312522882
Horoscope,Ethics,3.247158264555014e-05,-0.014565345675191504,0.027544032312522882
Fitness,Social justice,3.004242916188813e-05,-0.027610546786743885,0.025483501947359637
Social justice,Fitness,3.004242916188813e-05,-0.027610546786743885,0.025483501947359637
US Politics,Music,2.861690864075517e-05,-0.020804041275387975,0.024274303623863954
Music,US Politics,2.861690864075517e-05,-0.020804041275387975,0.024274303623863954
Current Events,Movies,2.8005213914236653e-05,-0.018074733582472247,0.023755433339759255
Movies,Current Events,2.8005213914236653e-05,-0.018074733582472247,0.023755433339759255
Personal Experiences,US Politics,2.499211266305244e-05,-0.04009602495729189,0.02119956905899885
US Politics,Personal Experiences,2.499211266305244e-05,-0.04009602495729189,0.02119956905899885
Horoscope,Sports,2.487696378446538e-05,-0.018428724938583153,0.021101893979001248
Sports,Horoscope,2.487696378446538e-05,-0.018428724938583153,0.021101893979001248
Global Politics,Movies,2.1325683257760608e-05,-0.018732457204573474,0.018089518923367975
Movies,Global Politics,2.1325683257760608e-05,-0.018732457204573474,0.018089518923367975
Software updates,US Politics,2.1120196159549278e-05,0.017449218752516118,0.01791521441426161
US Politics,Software updates,2.1120196159549278e-05,0.017449218752516118,0.01791521441426161
New gadgets,Software updates,1.9824202441047838e-05,0.12914216468617842,0.016815887250295296
Software updates,New gadgets,1.9824202441047838e-05,0.12914216468617842,0.016815887250295296
Social justice,Ethics,1.890751380063864e-05,-0.023809269024978038,0.0160383057628893
Ethics,Social justice,1.890751380063864e-05,-0.023809269024978038,0.0160383057628893
Current Events,Kpop,1.431818655750593e-05,-0.025607355808825588,0.012145407185772618
Kpop,Current Events,1.431818655750593e-05,-0.025607355808825588,0.012145407185772618
Fashion,Software updates,1.312769121604733e-05,0.08945263638978167,0.011135569060203543
Software updates,Fashion,1.312769121604733e-05,0.08945263638978167,0.011135569060203543
Software updates,Travel,1.2611549990066161e-05,0.09675538085745006,0.010697752069223009
Travel,Software updates,1.2611549990066161e-05,0.09675538085745006,0.010697752069223009
Dating,Horoscope,1.1626664538163747e-05,-0.02921081740749929,0.009862322610565214
Horoscope,Dating,1.1626664538163747e-05,-0.02921081740749929,0.009862322610565214
Global Politics,Kpop,1.1587501048497273e-05,-0.024796093475535054,0.009829102165580457
Kpop,Global Politics,1.1587501048497273e-05,-0.024796093475535054,0.009829102165580457
Gaming,US Politics,1.132572257987972e-05,-0.01068578663815086,0.009607048480146287
US Politics,Gaming,1.132572257987972e-05,-0.01068578663815086,0.009607048480146287
Movies,US Politics,1.0321931133904466e-05,-0.018751826983708222,0.008755582004835285
US Politics,Movies,1.0321931133904466e-05,-0.018751826983708222,0.008755582004835285
