persona_id,num_posts_viewed,num_posts_voted,num_posts_liked,num_posts_commented,num_posts_skipped
19b7f8e3d745-fa4ed60e,33,27,0,0,0
1a121e0de134-a988a5dc,31,30,0,0,0
1a124dc188d5-bf477d04,5,0,0,0,0
1a7654a74dbc-0ef53b7a,5,5,0,0,0
1a86b15d37b6-4ce88149,5,5,0,0,0
1a8970613a8b-43e01434,3,0,0,0,0
1acbf9e46133-817ae893,6,5,0,0,0
1b1869837d5e-8bb92ade,47,47,1,0,0
1be2c18e60a7-329360ee,6,3,0,0,0
1c03bd39932a-325e0f99,3,0,0,0,0
1c6ca8d83f63-e2170868,9,8,0,0,0
1cf063910533-676019ae,8,8,0,0,0
1d8c324045eb-860f18c8,4,3,0,0,0
1da039748f12-42934e7d,2,1,0,0,0
1db6ca29c308-6cdd3d41,4,0,0,0,0
1de8a3f516b4-e86fda05,17,13,0,0,0
1eb2e0aaa8f4-aab69da6,47,45,0,0,0
1f2b8ce6c871-f98a096e,7,5,2,0,0
1f596dd601ba-b2efd0f9,2,0,0,0,0
1f8cbde88599-13e3c851,17,14,0,0,0
1fa5b92690ee-f160b287,9,2,0,0,0
1fdcf77d38dd-3137e913,2,0,0,0,0
200b7b14133d-ccf22dfa,9,8,0,0,0
202f571e30af-e6a5509a,15,12,0,0,0
2033ba8f9d06-b05e9186,34,25,0,0,0
205dd5d7dc52-e9766c67,4,3,0,0,0
2076d39a644e-2ca3877e,18,9,0,0,0
20f0bf51c32f-b4867af8,1,0,0,0,0
210789f70d3c-df32f122,12,8,0,0,0
220e5794e36e-3d616f1b,41,41,0,0,0
224b7cdc36c8-60921525,1,0,0,0,0
246b985bbddb-64f33c23,5,4,0,0,0
25349efddd24-5b92bcf0,13,1,0,0,0
25ad151f8e2c-6759aafa,1,0,0,0,0
26034a2634ae-817c85f2,8,4,0,0,0
2735d25edfbf-4a953466,7,6,0,0,0
2794e1e1491b-21332c93,1,0,0,0,0
28443d812b2c-c5fc7faf,1,0,0,0,0
284f7807ac06-5e88ac68,21,19,0,0,0
286d3fe6a5c3-540d8cb5,5,4,0,0,0
2887a72c7255-27ab93cc,1,0,0,0,0
292bf13fa93a-ab3147f7,31,25,0,0,0
295e6bf9464e-6d776295,5,3,0,0,0
299bbe58ad3a-def23ab3,6,5,0,0,0
2aa22b5c2feb-a79cd374,37,37,0,0,0
2ac16d7bd89f-27e9ee6f,1,1,0,0,0
2ac30e828c2b-3af869c9,2,2,0,0,0
2af253d66304-87fd2c3c,2,1,0,0,0
2b1336178d04-c94e3be9,5,5,0,0,0
2b87262234fe-f1f641ff,37,36,0,0,0
2c3ff6010c4c-68b67881,15,13,0,0,0
2c866b5e7d3e-6e39ddb2,7,5,0,0,0
2d023d2a3082-456a9239,22,20,0,0,0
2d1ffd753390-7a8fc23e,3,1,0,0,0
2d318414aa05-f4fbb9cf,8,3,0,0,0
2dea1c748b12-b7d7baf7,4,3,0,0,0
2e7898f7f5ec-b5279e84,1,0,0,0,0
2e9482be5c5c-f926eda0,25,17,0,1,0
2ef7a060c7a8-4d4475ae,2,0,0,0,0
2efbfa326bfc-0742b56a,41,39,0,0,0
2f24eacf1c7e-33f1429d,30,23,0,0,0
3063642bc3f0-41f0eae5,2,0,0,0,0
3163e1d2b468-157f018d,23,22,0,0,0
3190250e4a4b-f3c7ce7e,3,2,0,0,0
321b661926a2-ade866ae,41,41,0,0,0
327482d5792d-eb8e00d7,33,33,0,0,0
32b3f0b01e5a-825f5e38,2,0,0,0,0
32bf8e3ff6fa-f3f3839e,7,6,0,0,0
32ec365a0f28-de2a346f,27,23,0,0,0
331d78eb3d82-050caeae,16,13,0,0,0
3321a6ba0068-85faa7e6,1,0,0,0,0
3467b853bc11-c7b06066,3,0,0,0,0
346e4a25dac4-5c5220e8,9,8,0,0,0
3495897fe903-d9241d33,11,8,0,2,0
3516670e9814-d2afc8aa,10,8,0,0,0
3533a1aa6f05-176be127,1,0,0,0,0
361bb79ef68e-5131a1f5,6,4,0,0,0
366d293a43c8-8860cf3c,3,0,0,0,0
3695da6165f2-48df32cc,1,0,0,0,0
36abe91deb82-2cf3c6bb,39,39,0,0,0
372999a6d733-46cb1017,37,37,0,0,0
372e8db986e4-71ea4d5c,1,0,0,0,0
373fd86ba842-e4e5d113,6,4,0,0,0
374c70112db7-9eafaeed,4,0,0,0,0
375c41e22260-ee78cc0c,40,41,0,0,0
37637b7b4bf1-4300ca2d,9,8,0,0,0
376949ab92c1-bd1fbfe8,6,1,0,0,0
376bcc41581d-deac8199,2,0,0,0,0
37f12abca0c0-41e50124,297,285,33,14,11
37f9b01d4924-c9be7c1a,7,4,0,0,0
3930992039bb-69bffe1f,16,14,0,0,0
393bd0fa07be-10da391e,16,14,0,0,0
398b0ea459f0-f7505ffc,29,23,2,4,2
3a26e0ed9bfd-548cb788,4,3,0,0,0
3b3d9cb3edf5-2086f69c,1,0,0,0,0
3b3fb668ca1d-e1c5bc87,21,20,0,0,0
3b78ae89af41-57ca3033,35,31,0,0,0
3bb2762d968b-51b925c2,1,0,0,0,0
3c58af35ffa3-36985c9e,5,2,0,0,0
